1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,norm_air_quality
303,2,57,1617,1,0.66,1.2,3,877,412,2,2,3,2,2,1,21,1,2,2,3,1.927410387,0,0,2,3,4,2,4.43,Europe,Moldova,chisinau-moldova,0.152588556
314,2,50,915,3,0.28,1.4,3,653,429,2,1,4,2,2,2,13,1,2,2,3,2.276215354,0,0,3,2,4,4,3.78,Europe,Belarus,minsk-belarus,0.133514986
758,2,14,1739,2,1.71,3.88,2,1701,1120,2.888783615,2,3,1,3,3,36,2,3,3,3,3,0,1,3,3,4,4,4.32,North America,United States,ogden-ut-united-states,0.035422343
372,2,50,4636,1.836710118,1.37,2.96,1,1884,654,2,1,3,2,2.201482549,3,5,1,2,2,2,2,1,0,1,2,4,1,3.61,Africa,Seychelles,victoria-seychelles,0.133514986
357,2,91,1983,2.049058468,0.94,2.49,3,1127,577,2,2,3,1,2,2,10,1,2,2,3,1.446838009,0,0,1,2,3,2,3.64,Latin America,Belize,belize-city-belize,0.245231608
900,2,19,2074,2,1.7,3.59,2,2169,1487,4,2,2,3,3,3,23,3,3,3,3,3,0,1,3,4,4,4,4.34,North America,United States,pittsburgh-pa-united-states,0.049046322
641,2,10,1617,3,2.07,1.77,2,1580,872,2,3,2,2,3,4,18,2,2,3,3,2,0,1,4,3,4,1,3.87,Europe,Spain,pamplona-spain,0.024523161
768,2,24,1647,1,2.59,3.01,2,1695,1106,4,3,4,3,3,3,35,4,3,4,3,3,0,1,4,3,4,4,3.99,Europe,Germany,stuttgart-germany,0.0626703
777,2,22,1220,1,1.95,2.86,2,1617,1089,2,3,2,2,3,3,34,2,2,4,3,2,0,1,4,3,4,4,3.88,Europe,Germany,darmstadt-germany,0.057220708
371,2,23,1159,1,0.59,0.62,3,729,430,1,1,2,1,3,3,17,2,1,2,3,1.794327556,0,0,2,3,1,4,3.66,Asia,Malaysia,johor-bahru-malaysia,0.059945504
794,2,16,2074,2,1.62,3.36,2,1754,1096,4,2,3,2,3,3,21,2,2,3,3,3,0,1,3,4,4,4,4.38,North America,United States,gainesville-fl-united-states,0.040871935
1220,2,12,2013,2,1.64,4,2,2191,1543,2,2,3,3,3,3,38,3,3,3,3,3,0,1,3,4,4,4,4.3,North America,United States,tampa-fl-united-states,0.029972752
709,2,19,1556,1,2.28,3.33,1,1641,1073,4,3,2,2,3,3,31,2,1,4,3,3,0,1,4,3,4,4,3.79,Europe,Germany,karlsruhe-germany,0.049046322
292,2,10,1312,3,2.14,3.01,3,1175,642,2,1,3,2,2,1,18,1,2,1,3,2,0,0,1,3,4,4,4.13,Europe,Russia,kazan-russia,0.024523161
329,2,50,1007,3,0.56,2.25,3,709,476,2,1,3,1,2,3,12,2,2,1,3,2,0,0,2,3,4,4,3.6,Asia,Philippines,boracay-philippines,0.133514986
211,2,217,1190,1,0.31,0.55,3,579,257,1,1,2,1,2,1,5,1,1,1,1,3,1,0,2,1,3,1,2.68,Asia,Pakistan,islamabad-pakistan,0.588555858
660,2,19,1922,3,2.64,2.97,1,1918,1065,4,2,3,1,3,2,36,4,1,3,3,4,0,1,3,3,4,4,3.73,Europe,United Kingdom,northampton-united-kingdom,0.049046322
140,2,42,1678,1,0.29,0.7,3,647,207,1,1,2,1,2,2,7,1,1,2,3,1,1,0,3,2,3,1,3.55,Asia,Indonesia,gili-air-indonesia,0.111716621
924,2,13,1678,3,2.64,2.97,1,2061,1289,4,2,3,2,3,2,23,3,2,3,3,4,0,1,3,3,4,4,3.75,Europe,United Kingdom,aberdeen-united-kingdom,0.032697548
502,2,27,1312,2.320931229,0.79,2.75,3,1189,781,2,2,3,3,2,2,8,1,2,3,3,2,1,0,3,3,4,4,4.35,Africa,Mauritius,port-louis-mauritius,0.070844687
325,2,49,976,3,0.45,1.98,3,669,471,2,1,4,3,3,1,20,1,2,1,3,2,0,0,2,3,1,4,4.15,Asia,Thailand,chiang-rai-thailand,0.130790191
858,2,14,3294,2,0.28,0.56,3,1585,806,4,1,4,4,1,2,9,4,3,1,3,4,1,0,3,3,4,4,4.13,Middle East,Egypt,el-gouna-egypt,0.035422343
253,2,10,702,2,0.75,1.32,3,652,396,2,1,3,3,3,1,18,2,1,2,3,3,0,0,1,3,1,4,3.99,Latin America,Brazil,fortaleza-brazil,0.024523161
1056,2,16,2135,3,2.64,2.97,1,2273,1401,2,2,2,2,3,2,17,3,3,3,3,4,0,1,3,4,4,4,3.81,Europe,United Kingdom,reading-united-kingdom,0.040871935
950,2,9,4362,1.437573074,1.7,4.83,1,2663,1335,2,2,3,3,2.77459061,2,19,2,3,3,3,2,0,0,2,3,4,1,3.82,Latin America,The Bahamas,nassau-the-bahamas,0.021798365
820,2,17,1678,2,1.53,3.8,2,1820,1247,4,2,3,1,3,3,39,2,2,3,3,3,0,1,3,4,4,4,4.37,North America,United States,memphis-tn-united-states,0.04359673
88,2,56,1373,1,0.32,2.2,3,648,299,1,1,3,2,1,1,5,1,1,1,3,1,1,0,2,2,3,1,3.79,Asia,India,kozhikode-india,0.14986376
900,2,10,1922,2,1.65,3.38,2,1755,1092,4,2,3,2,3,3,14,2,1,3,3,3,0,1,3,3,4,4,4.23,North America,United States,boise-id-united-states,0.024523161
423,2,62,1678,3,0.54,4.4,3,1121,762,2,1,2,1,2,1,5,1,1,2,3,1,0,0,3,2,3,4,3.84,Asia,China,xiamen-china,0.166212534
450,2,84,1678,3,0.56,1.25,3,1060,589,2,1,3,2,2,1,7,1,1,2,2,1,0,0,3,2,3,4,3.56,Asia,China,dalian-china,0.226158038
450,2,119,976,3,0.6,2.65,3,864,628,3,1,1,1,2,1,10,1,1,2,2,1,0,0,3,2,3,4,3.45,Asia,China,harbin-china,0.321525886
239,2,51,1830,2.25230939,0.84,1.43,3,936,395,3,1,3,3,1,1,20,2,2,3,3,2,0,0,3,3,4,4,4.33,Europe,Bulgaria,varna-bulgaria,0.136239782
1177,2,21,3538,1,0.54,2.25,2,2012,1240,2,1,2,2,3,3,18,1,1,2,3,1,1,0,2,3,1,1,3.86,Asia,Malaysia,malacca-malaysia,0.054495913
1409,2,16,2166,2,2.07,3.37,1,2429,1697,4,3,4,1,4,3,21,3,1,4,3,3,0,1,4,4,4,4,4.14,Oceania,Australia,canberra-australia,0.040871935
633,3,17,1525,2,1.81,2.2,2,1544,913,3,3,4,2,4,3,45,3,2,4,3,4,0,1,3,4,4,4,4.27,North America,Canada,windsor-canada,0.04359673
275,2,29,1952,2,0.57,0.99,3,976,396,1,1,3,2,1,1,28,1,1,1,3,1,0,0,2,3,4,4,3.98,Europe,Ukraine,odesa-ukraine,0.076294278
1010,2,16,2196,2,1.73,3.5,2,2005,1295,3,2,2,2,3,3,35,3,3,3,3,3,0,1,3,3,4,4,4.52,North America,United States,richmond-va-united-states,0.040871935
132,2,16,397,2,1.75,3.83,2,1066,618,2,2,2,2,3,3,19,2,2,3,3,2,0,1,3,4,4,4,4.27,North America,United States,ashland-or-united-states,0.040871935
924,2,9,2532,3,1.54,2.97,1,1969,1205,3,2,4,1,3,2,36,3,1,3,3,4,0,1,4,3,4,4,3.48,Europe,United Kingdom,cambridge-united-kingdom,0.021798365
895,2,15,2623,3,1.94,3.3,1,2285,1270,2,2,2,2,3,2,26,2,2,3,3,2,0,1,3,4,4,1,4.06,Europe,United Kingdom,york-united-kingdom,0.038147139
924,2,15,2135,3,2.64,2.97,1,2169,1289,3,2,3,2,3,2,26,4,3,3,3,4,0,1,3,4,4,4,3.98,Europe,United Kingdom,norwich-united-kingdom,0.038147139
441,2,17,1220,3,1.22,0.89,3,1077,570,4,3,3,2,2,4,43,2,2,4,3,2,0,1,3,3,4,4,4.37,Europe,Portugal,coimbra-portugal,0.04359673
2217,2,4,2715,2,2.14,3.29,1,2142,1228,2,3,2,3,4,3,21,2,2,4,3,2,0,1,3,3,4,1,4.17,Oceania,Australia,byron-bay-australia,0.008174387
1210,2,11,1739,2,1.67,4.13,1,1851,1202,4,2,3,2,3,3,30,2,2,3,3,3,0,1,3,4,4,4,3.97,North America,United States,colorado-springs-co-united-states,0.027247956
1050,2,15,1586,2,1.67,3.28,2,1765,1193,4,2,3,3,3,3,33,2,2,3,3,3,0,1,3,4,4,4,4.34,North America,United States,jacksonville-fl-united-states,0.038147139
467,2,29,1129,3,0.92,1.17,3,913,568,3,3,2,3,3,2,40,1,1,3,3,1.503656645,0,0,3,3,4,4,4.17,Europe,Slovakia,kosice-slovakia,0.076294278
665,2,8,3935,3,1.93,2.22,1,2121,915,3,3,3,3,3,4,44,3,3,3,3,2,0,1,4,3,4,1,4.15,Europe,Spain,marbella-spain,0.019073569
95,2,27,1190,1,0.22,0,3,383,330.6173008,1,1,2,1,1,1,14,1,1,1,3,1,1,0,2,3,3,1,3.82,Asia,India,mcleod-ganj-india,0.070844687
393.6004429,2,202,1434,1,0.33,1.78,3,637,254,2,1,3,3,1,1,5,1,2,1,2,1,1,0,3,2,3,4,3.75,Asia,India,amritsar-india,0.547683924
301.0953134,2,211,732,1,0.49,0.97,3,545,245,1,1,2,2,1,1,8,2,2,1,2,1,0,0,2,2,3,4,3.16,Asia,India,lucknow-india,0.572207084
95,2,189,1190,1,0.43,1.13,3,607,243,2,1,3,4,1,1,4,1,2,1,2,2,1,0,3,2,3,4,3.84,Asia,India,jodhpur-india,0.51226158
114,2,79,1037,1,0.32,0.93,3,468,194,1,1,3,2,1,1,10,1,2,1,3,1,0,0,2,3,3,4,3.61,Asia,India,hyderabad-india,0.21253406
590,2,19,3050,2,1.11,4.22,2,1804,978,2,2,2,3,2,4,22,2,2,3,3,2,0,1,4,3,4,4,3.03,Asia,Japan,sapporo-japan,0.049046322
456,2,18,2013,2,0.89,1.77,2,1216,638,4,3,3,2,4,3,38,4,1,4,3,4,0,1,3,4,4,4,4.03,North America,Canada,quebec-city-canada,0.046321526
273,2,28,915,3,1.16,1.58,3,766,443,3,2,3,3,2,2,51,1,3,3,3,2,0,0,3,3,4,4,4.55,Europe,Romania,timisoara-romania,0.073569482
1140,2,12,3782,1,0,0,1,2055,1022,2,2,2,2,2,4,41,1,2,3,3,2,1,1,3,3,4,1,3.7,Europe,Italy,amalfi-italy,0.029972752
337,2,9,336,1,0.93,2.25,3,539,468,3,2,2,3,3,4,26,2,2,2,3,2,0,0,3,3,4,4,4.39,Asia,Taiwan,tainan-taiwan,0.021798365
673,2,20,1037,2,1.18,3.58,2,1391,1051,3,2,2,2,2,4,15,2,1,3,3,2,0,1,4,3,4,4,2.86,Asia,Japan,naha-okinawa-japan,0.051771117
671,2,25,1495,2,2.76,2.89,1,1853,1102,2,2,2,2,3,4,52,2,2,3,3,2,0,1,3,3,4,2,4.24,Europe,France,strasbourg-france,0.065395095
408,2,50,1434,3,1.37,2.53,3,1225,713,3,3,4,2,2,4,40,2,2,4,3,2,0,1,4,3,4,1,4.38,Europe,Portugal,funchal-madeira-portugal,0.133514986
309,2,11,1083.935559,2,1.03,1.55,3,807,475,1,1,3,2,3,1,9,2,2,2,3,2,1,0,1,3,1,2,3.64,Latin America,Brazil,manaus-brazil,0.027247956
466,2,47,1373,2,1.91,4.23,1,1550,944,3,3,2,3,2,3,10,2,3,2,3,2,0,0,3,3,4,4,3.6,Europe,Cyprus,nicosia-cyprus,0.125340599
322,2,66,702,2,0.64,1.29,3,710,458,1,1,3,4,3,1,13,1,2,2,3,3,0,0,1,3,1,4,3.27,Latin America,Brazil,porto-alegre-brazil,0.177111717
720,2,50,2627.989693,1,2.14,4.28,1,1973,1204,2,1,2,3,2,4,14,2,3,3,3,2,0,1,3,2,4,4,3.57,Europe,Greece,mikonos-greece,0.133514986
223,2,65,641,2,0.88,1.35,3,617,374,2,1,2,1,3,1,11,2,3,2,3,3,0,0,1,2,1,4,3.04,Latin America,Brazil,goiania-brazil,0.174386921
575,2,50,1220,3,0.62,2.69,2,1119,803,2,1,4,4,2,3,6,3,3,1,3,2,0,0,2,3,4,4,3.82,Asia,Philippines,makati-philippines,0.133514986
384,2,29,610,2,0.86,1.54,3,760,531,3,2,2,2,2,3,42,2,2,3,3,1,0,1,4,3,4,4,3.88,Europe,Poland,lublin-poland,0.076294278
173,2,21,1251,1,0.57,2.53,3,703,414,2,1,2,2,3,3,17,1,1,2,3,1,1,0,2,3,1,1,3.59,Asia,Malaysia,ipoh-malaysia,0.054495913
105,2,42,1251,1,0.29,0.7,3,516,177,1,1,2,1,2,2,17,1,1,2,3,1,1,0,3,3,3,4,3.53,Asia,Indonesia,mataram-lombok-indonesia,0.111716621
289,2,29,1251,1,0.71,1.99,3,766,451,4,2,4,2,3,4,29,3,2,2,3,2,0,0,3,3,4,4,4.32,Asia,Taiwan,kaohsiung-taiwan,0.076294278
135,2,83,854,1,0.33,0.72,3,388,181,2,1,3,3,1,1,9,1,1,1,3,1,0,0,2,2,3,4,3.06,Asia,India,ahmedabad-india,0.223433243
115,2,105,671,3,0.5,4.12,3,585,458,2,1,2,1,2,1,5,1,1,2,2,1,0,0,3,2,3,4,3.46,Asia,China,shaoxing-china,0.283378747
517,2,4,1678,2.060469798,0.86,1.6,3,1199,671,2,3,2,2,1,1,3,1,1,2,3,1.706458888,0,0,2,2,3,4,3.45,Africa,Namibia,windhoek-namibia,0.008174387
650,2,15,1007,1.973301664,0,0.2,3,819,584,1,1,2,1,1,1.419868987,2,1,1,1,3,1,0,0,2,2,1,4,2.92,Africa,Zambia,lusaka-zambia,0.038147139
575,2,50,1403,1.117197297,0.93,1.7,2,1156,719,1,1,3,2,1,1.534928383,2,1,1,1,3,2,0,0,2,2,3,4,3.37,Africa,Mozambique,maputo-mozambique,0.133514986
265,2,146,1464,3,0.6,4.61,3,913,627,2,1,2,1,2,1,4,2,2,2,2,1,0,0,3,2,3,1,3.34,Asia,China,hohhot-china,0.395095368
346,2,51,1037,3,0.54,0,3,703,394,2,1,1,1,2,1,5,1,1,2,3,1,0,0,3,2,3,4,3.52,Asia,China,zhangjiakou-china,0.136239782
179,2,98,641,3,0.5,4.23,3,636,530,2,1,2,1,2,1,4,2,2,2,2,1,0,0,3,2,3,2,3.52,Asia,China,huaian-china,0.264305177
214,2,116,915,3,0.35,0.5,3,527,261,3,1,1,1,2,1,4,1,2,2,2,1,0,0,3,2,3,4,4.09,Asia,China,nanchang-china,0.313351499
450,2,94,1555.299255,3,0.46,3.87,3,1019,754,2,1,2,1,2,1,4,2,2,2,2,1,0,0,3,2,3,1,3.52,Asia,China,changsha-china,0.253405995
548,2,50,946,3,2.07,2.31,3,1186,783,4,3,3,4,3,4,36,3,3,3,3,3,0,1,4,3,4,4,4.08,Europe,Spain,tenerife-canary-islands-spain,0.133514986
188,2,33,1373,3,0.68,1.07,3,798,337,3,2,2,2,2,2.705674038,29,2,3,2,3,2,1,0,3,4,4,4,4.36,Europe,Serbia,novi-sad-serbia,0.08719346
419,2,12,1708,3,1.21,1.74,2,1187,617,3,3,4,4,2,4,35,2,2,4,3,2,0,1,4,3,4,4,3.89,Europe,Portugal,aveiro-portugal,0.029972752
216.5673877,2,17,1312,2,0.29,0.58,3,518,588.8184187,2,1,3,2,1,1,25,1,1,2,3,2,0,0,3,3,3,4,3.97,Asia,Vietnam,mui-ne-vietnam,0.04359673
329,2,32,1281,2.022978973,0.92,1.08,3,846,439,2,2,3,2,1,3,12,1,3,2,3,1,1,0,3,3,4,4,4.31,Europe,Albania,tirana-albania,0.084468665
644,2,177,1373,1.706712902,0.53,1.01,3,1019,677,1,1,3,3,1,1,2,1,3,1,2,1.932045953,0,0,2,2,3,1,3.32,Africa,Cameroon,douala-cameroon,0.479564033
872,2,177,1511.245843,1.889163142,0.85,4.57,3,1675,1108,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,3,4,3.08,Africa,Cameroon,yaounde-cameroon,0.479564033
1275,2,12,2288,2,1.62,4.06,1,2124,1393,2,2,3,3,3,3,29,2,3,3,3,2,0,1,3,4,4,4,4.37,North America,United States,flagstaff-az-united-states,0.029972752
860,2,12,1769,2,1.77,3.93,2,1713,1111,4,2,2,3,3,3,52,2,3,3,3,3,0,1,3,4,4,2,4.4,North America,United States,albuquerque-nm-united-states,0.029972752
1386,2,18,2013,3,1.44,3.3,1,2262,1636,3,2,3,2,3,2,16,2,2,3,3,2,0,1,4,3,4,2,3.83,Europe,United Kingdom,portsmouth-united-kingdom,0.046321526
355,2,23,732,3,0.76,1.57,3,788,505,2,1,3,1,2,1,33,2,3,1,3,1,0,0,1,3,4,4,4.26,Europe,Russia,krasnodar-russia,0.059945504
557,2,22,1861,1,2.83,1.71,2,1512,833,4,2,3,2,2,4,10,1,2,3,3,1,0,1,3,3,4,4,4.34,Europe,Italy,trieste-italy,0.057220708
219,2,49,702,2.018263161,0.45,1.12,3,548,343,3,1,3,3,2,1,14,2,2,1,3,3,1,0,3,3,4,4,4.37,Europe,Turkey,izmir-turkey,0.130790191
90,2,43,1281,1,0.68,1.86,3,621,278,2,1,3,3,1,2,11,1,2,1,3,1,1,0,3,3,4,1,3.88,Asia,Sri Lanka,kandy-sri-lanka,0.114441417
138,2,167,1312,1.519644366,0.33,0.69,3,574,213,2,1,3,2,2,1,3,1,2,1,2,1.076943202,0,0,2,1,4,1,3.28,Asia,Uzbekistan,tashkent-uzbekistan,0.452316076
292,2,50,1037,1.876660784,0.68,1.94,3,836,482,2,1,2,2,2,2,11,1,1,2,3,1.478973518,0,0,3,3,3,1,3.82,Asia,Kazakhstan,almaty-kazakhstan,0.133514986
258,2,32,1586,1,0.68,1.98,3,907,441,2,1,2,2,3,2,6,1,2,2,3,2,1,0,1,3,4,4,3.31,Latin America,Mexico,puebla-mexico,0.084468665
190,2,81,1007,1,0.75,1.16,3,681,335,2,2,2,2,3,2,6,4,2,3,3,2,1,0,2,2,4,1,3.62,Latin America,Argentina,rosario-argentina,0.217983651
1374,2,20,2196,1,3.19,3.32,1,2838,1866,4,3,4,2,4,4,48,3,3,4,3,2,0,1,4,4,4,4,4.34,Europe,Switzerland,lugano-switzerland,0.051771117
88,2,25,2074,1,0.36,1.12,3,797,232,1,1,1,2,1,1,3,1,1,1,3,1,1,0,2,2,3,1,3.49,Asia,India,kannur-india,0.065395095
880,2,18,2257,2,1.94,3.95,1,2133,1305,4,2,3,3,3,3,36,2,2,3,3,3,0,1,3,3,4,4,3.96,North America,United States,milwaukee-wi-united-states,0.046321526
814,2,11,1464,1,2.95,3.77,1,2006,1252,3,4,2,3,4,4,36,3,2,4,3,2,0,1,4,3,4,4,4.24,Europe,Netherlands,tilburg-netherlands,0.027247956
580,2,22,976,2,1.1,3.35,3,1212,905,2,2,1,2,2,4,16,2,1,3,3,2,0,1,4,3,4,2,3.03,Asia,Japan,sendai-japan,0.057220708
272,2,108,1089.946331,1.431024182,0.24,1.18,3,566,337,1,1,2,2,1,2,5,1,1,1,2,2,1,0,2,1,1,1,3.42,Middle East,Iran,shiraz-iran,0.291553134
185,2,111,796.9555853,1.865237838,0.29,1.39,3,396,269,1,1,2,1,1,2,4,1,1,1,2,1,1,0,2,2,1,1,2.7,Middle East,Iran,isfahan-iran,0.29972752
405,2,50,793,2.048322219,0.61,3.08,3,883,711,2,1,3,1,2.257908523,3,15,1,1,2,3,1,1,1,3,3,4,2,3.98,Asia,Brunei,bandar-seri-begawan-brunei,0.133514986
200,2,18,2257,1.574685349,0.58,1.37,3,916,326,2,1,4,2,2,1,10,2,2,1,3,2,1,0,2,3,4,4,3.83,Europe,Turkey,bodrum-turkey,0.046321526
365,2,50,1251,1,0.57,1.42,3,859,509,1,1,3,2,2,3,4,1,1,2,3,2,1,0,2,2,3,4,3.86,Africa,Morocco,tangier-morocco,0.133514986
883,2,161,2959,1.754396192,1.33,4.28,1,2165,1231,1,1,1,1,3,3,8,1,1,2,2,1,1,0,2,2,1,2,3.27,Middle East,Saudi Arabia,jeddah-saudi-arabia,0.435967302
114,2,18,946,1,0.39,1.45,3,557,274,2,1,2,2,1,1,4,1,1,1,3,1,0,0,2,2,3,4,3.63,Asia,India,bhubaneswar-india,0.046321526
139,2,21,2379,1,0.31,1.75,3,901,300,2,1,3,2,1,1,7,1,2,1,3,1,1,0,3,3,3,4,3.89,Asia,India,visakhapatnam-india,0.054495913
510,2,31,1600.444898,2,1.3,3.1,3,1291,805,2,2,1,2,2,4,17,2,2,3,3,2,0,1,3,3,4,1,3.55,Asia,Japan,okayama-japan,0.081743869
939,2,14,1739,2,2.61,5.88,1,2385,1562,4,4,3,3,4,3,23,3,3,4,3,4,1,1,4,3,4,4,4.14,Europe,Denmark,aarhus-denmark,0.035422343
487,2,177,1098,1.797357645,0,0,3,640,414,1,2,1,1,1,0.940565973,1,1,1,1,2,1,1,0,2,1,3,1,2.71,Africa,Malawi,lilongwe-malawi,0.479564033
186,2,50,770.3277002,1.961461066,0.18,0.72,4,375,233,1,1,3,1,1,1,1,1,1,1,3,1.364864471,0,0,1,2,1,1,4.08,Africa,Sudan,khartoum-sudan,0.133514986
469,2,50,1438.766625,2.040551729,0.64,0.97,2,1182,690,1,1,1,1,2,2,3,1,1,1,3,1,1,0,2,2,1,2,3.18,Africa,Libya,benghazi-libya,0.133514986
561,2,50,1952,1.862842779,0.79,1.33,3,1282,690,1,1,3,1,2,2,4,1,1,1,3,1.785780013,1,0,2,2,1,1,3.73,Africa,Libya,tripoli-libya,0.133514986
181,2,90,1068,1.992531506,0.4,0.45,3,544,240,2,1,3,4,1,2,5,1,2,2,3,1.532925783,1,0,2,2,3,4,3.78,Africa,Tunisia,tunis-tunisia,0.242506812
88,2,11,960.3986165,1,0.38,1.62,4,528.2376548,254,1,1,2,2,1,1,4,1,1,1,3,1,1,0,2,2,3,1,3.61,Asia,India,moradabad-india,0.027247956
98,2,92,671,1,0.6,1.43,3,716,312,1,1,1,2,1,1,3,1,1,1,2,1,0,0,2,2,3,1,3.17,Asia,India,guwahati-india,0.247956403
358,2,50,702,3,0.83,1.88,3,842,586,2,1,2,1,2,1,19,1,2,1,3,1,0,0,1,3,4,4,3.85,Asia,Russia,novosibirsk-russia,0.133514986
271,2,50,1525,1.557773896,0.31,0.36,3,700,308,2,1,2,2,1,1,1,1,3,1,3,1.81158961,0,0,2,2,3,1,3.77,Asia,Tajikistan,dushanbe-tajikistan,0.133514986
376,2,27,1068,3,1,1.3,2,927,509,3,2,4,3,2,2,55,1,2,3,3,2,0,0,3,3,4,4,4.48,Europe,Romania,cluj-romania,0.070844687
116,2,37,854,1.815918253,0.46,1.07,3,491,232,2,1,2,2,2,1,11,1,1,1,3,1,1,0,2,3,4,2,3.21,Europe,Turkey,bursa-turkey,0.098092643
108,2,215,1726.278405,1,0.29,8.61,3,678,794,1,1,2,2,1,1,4,1,1,1,2,1,1,0,2,2,3,1,3.36,Asia,India,kanpur-india,0.583106267
711,2,21,2288,1,2.28,1.49,1,1901,992,3,2,4,3,2,4,10,4,1,3,3,1,0,1,3,3,4,4,3.82,Europe,Italy,genoa-italy,0.054495913
239,2,59,1129,2.400266832,0.79,1.69,3,783,418,3,1,3,2,1,1,300,1,2,3,3,2,0,0,3,3,4,4,4.42,Europe,Bulgaria,plovdiv-bulgaria,0.158038147
1153,2,50,1861,1.957247422,1.52,3.2,2,2113,1470,2,3,2,3,1,1,7,1,3,2,3,2,1,0,2,3,1,2,3.58,Africa,Ghana,accra-ghana,0.133514986
850,2,21,1952,2,1.87,3.96,2,1872,1216,3,2,3,2,3,3,32,3,1,3,3,3,0,1,3,3,4,4,3.97,North America,United States,indianapolis-in-united-states,0.054495913
608,2,29,1312,1,2.43,4.55,1,1753,1132,3,2,4,3,2,4,24,3,2,3,3,1,0,1,3,4,4,4,4.08,Europe,Italy,modena-italy,0.076294278
554,2,61,2745,1.935341328,1.86,2.72,2,1807,869,1,2,3,2,2.395819184,2.477620334,22,1,1,2,3,2,0,0,3,3,4,1,3.8,Latin America,Aruba,oranjestad-aruba,0.163487738
500,2,50,2166,1.831996904,2.5,3.75,1,1700,891,1,2,3,2,2.347929917,3,32,2.463099,1,3,3,2,0,0,1,3,4,4,3.44,Latin America,Barbados,bridgetown-barbados,0.133514986
1249,2,14,1525,2,1.77,4.64,1,2267,1665,4,2,3,1,3,3,35,3,1,3,3,3,0,1,3,4,4,4,4.26,North America,United States,hartford-ct-united-states,0.035422343
317,2,18,1373,3,0.57,1.18,3,787,428,2,2,3,1,2,3,11,2,1,3,3,2,0,0,4,3,4,4,4.27,Europe,Croatia,rijeka-croatia,0.046321526
700,2,21,1861,2,2.47,2.78,2,1860,1076,2,2,2,2,3,4,24,2,2,3,3,2,0,1,3,3,4,2,3.88,Europe,France,annecy-france,0.054495913
747,2,18,2077.771139,1,2.06,3.21,1,1888,1123,4,4,3,3,4,3,23,3,3,4,3,3,0,1,3,4,4,4,4.297698772,Europe,Finland,tampere-finland,0.046321526
307,2,146,1129,3,0.44,4.16,3,921,700,2,1,1,1,2,1,44,1,1,2,2,1,0,0,3,2,3,2,3.37,Asia,China,urumqi-china,0.395095368
320,2,28,1495,1.908431073,0.39,1.13,3,880,426,1,1,4,2,2,1.952237066,13,2,2,3,3,2.018799019,0,0,3,3,4,4,3.18,Europe,Montenegro,bar-montenegro,0.073569482
184,2,31,671,3,0.63,1.2,3,560,311,1,1,3,2,2,1,20,1,1,1,3,1,0,0,1,3,4,4,3.83,Europe,Russia,saratov-russia,0.081743869
528,2,37,1769,2,1.9,3.64,2,1672,954,3,3,4,4,2,3,11,3,2,2,3,2,0,0,3,3,4,1,4.43,Europe,Cyprus,limassol-cyprus,0.098092643
780,2,14,1495,2,1.28,2.72,2,1652,1067,2,3,2,2,4,3,38,2,2,4,3,2,0,1,3,4,4,1,4.3,North America,Canada,guelph-canada,0.035422343
754,2,286,1506.720778,1.714325321,0.66,3.89,3,1684,1064,1,1,1,1,3,3,6,1,1,2,1,1,1,0,2,1,1,4,2.84,Middle East,Saudi Arabia,dammam-saudi-arabia,0.776566757
598,2,30,946,2,1.33,3.38,2,1271,936,3,2,1,3,2,4,18,2,2,3,3,2,0,1,4,3,4,4,3.69,Asia,Japan,nagoya-japan,0.079019074
1469,2,19,2715,2,2.73,4.88,1,2907,1958,4,3,4,1,4,3,19,3,3,4,3,3,0,1,4,3,4,4,4.21,Oceania,Australia,darwin-australia,0.049046322
599,2,24,1952,1,2.33,3.5,1,1861,1032,4,3,3,2,3,3,50,1,2,4,3,3,0,1,4,3,4,4,3.81,Europe,Germany,hannover-germany,0.0626703
950,2,15,1617,2,1.89,3.41,2,2023,1463,3,2,3,2,3,3,22,2,1,3,3,3,0,1,3,3,4,4,4.13,North America,United States,norfolk-va-united-states,0.038147139
990,2,8,1525,1,2.07,3.51,1,1940,1367,4,4,4,3,4,3,29,3,3,4,3,3,0,1,3,3,4,4,4.19,Europe,Finland,espoo-finland,0.019073569
534,2,41,824,3,1.33,4.31,3,1088,888,3,2,3,2,2,3,29,1,2,3,3,2,0,1,4,4,4,4,4.56,Asia,South Korea,daejeon-south-korea,0.108991826
475,2,41,2044,3,1.27,3.73,2,1377,805,3,2,3,2,2,3,28,1,2,3,3,2,0,1,4,4,4,1,4.42,Asia,South Korea,gwangju-south-korea,0.108991826
829,2,13,1708,2,2,4,2,1784,1217,3,2,3,1,3,3,21,2,3,3,4,3,0,1,3,4,4,4,4.04,North America,United States,provo-ut-united-states,0.032697548
210,2,45,1281,1,0.23,0.7,3,580,258,2,1,2,2,2,2,5,1,1,2,3,1,1,0,3,2,3,4,4.02,Asia,Indonesia,sanur-bali-indonesia,0.119891008
